CarID,CarMake,CarModel,CarYear,Category
C001,Hyundai,Santa Fe,2019,SUV
C002,Ford,Explorer,2021,SUV
C003,Kia,Telluride,2023,SUV
C004,BMW,5 Series,2022,Luxury
C005,Audi,A6,2019,Luxury
C006,Audi,A4,2024,Luxury
C007,Nissan,Pathfinder,2019,SUV
C008,Ford,Escape,2020,SUV
C009,Toyota,Highlander,2022,SUV
C010,Hyundai,Tucson,2023,SUV
C011,Chevrolet,Tahoe,2018,SUV
C012,Mercedes,C-Class,2023,Luxury
C013,Nissan,Altima,2024,Sedan
C014,Honda,Accord,2020,Sedan
C015,Nissan,Maxima,2020,Sedan
C016,Ford,F-150,2023,Truck
C017,Audi,Q5,2021,Luxury
C018,Toyota,Prius,2022,SUV
C019,Audi,A8,2022,Sedan
C020,Toyota,RAV4,2021,Sedan
C021,Hyundai,Sonata,2023,SUV
C022,Toyota,Camry,2022,SUV
C023,Hyundai,Kona,2021,Sedan
C024,Kia,Sorento,2021,SUV
C025,Hyundai,Elantra,2022,Sedan
C026,Nissan,Rogue,2021,SUV
C027,Chevrolet,Equinox,2022,SUV
C028,Audi,Q7,2024,Luxury
C029,Mercedes,C-Class,2020,Luxury
C030,Kia,Sorento,2018,SUV
C031,Hyundai,Sonata,2024,Sedan
C032,Kia,Sportage,2023,SUV
C033,Chevrolet,Equinox,2023,SUV
C034,Honda,CR-V,2019,SUV
C035,Ford,F-150,2018,Truck
C036,Ford,Explorer,2023,SUV
C037,Audi,A6,2024,Luxury
C038,Nissan,Sentra,2020,Sedan
C039,Honda,Pilot,2024,SUV
C040,Kia,Sportage,2018,SUV
C041,Audi,A6,2020,Luxury
C042,Mercedes,E-Class,2018,Luxury
C043,Nissan,Sentra,2019,Sedan
C044,Kia,Sorento,2023,SUV
C045,Nissan,Maxima,2024,SUV
C046,Mercedes,GLC,2020,Luxury
C047,Nissan,Pathfinder,2018,SUV
C048,Toyota,Highlander,2019,SUV
C049,Toyota,Highlander,2018,SUV
C050,Mercedes,GLE,2022,Luxury
C051,Kia,Optima,2022,Sedan
C052,Honda,Odyssey,2018,SUV
C053,Kia,Telluride,2022,Sedan
C054,Ford,Mustang,2022,Sedan
C055,BMW,5 Series,2019,Luxury
C056,BMW,X3,2018,Luxury
C057,Kia,Optima,2020,Sedan
C058,Honda,Accord,2023,Sedan
C059,Chevrolet,Tahoe,2021,SUV
C060,Nissan,Maxima,2019,Sedan
C061,Kia,Forte,2018,Sedan
C062,Mercedes,C-Class,2024,Luxury
C063,Ford,F-150,2021,Truck
C064,Toyota,RAV4,2020,SUV
C065,Mercedes,E-Class,2020,Luxury
C066,Hyundai,Santa Fe,2018,SUV
C067,Audi,A8,2018,Luxury
C068,Chevrolet,Equinox,2024,SUV
C069,Ford,Mustang,2024,Sedan
C070,Mercedes,GLE,2018,Luxury
C071,Mercedes,GLE,2024,Luxury
C072,BMW,7 Series,2021,Luxury
C073,BMW,3 Series,2023,Luxury
C074,Nissan,Altima,2020,Sedan
C075,Chevrolet,Tahoe,2020,SUV
C076,Chevrolet,Silverado,2024,Truck
C077,Mercedes,GLC,2018,Luxury
C078,BMW,7 Series,2022,Luxury
C079,Hyundai,Kona,2024,SUV
C080,Kia,Telluride,2020,SUV
C081,Ford,Escape,2023,SUV
C082,Nissan,Rogue,2019,SUV
C083,Kia,Telluride,2024,SUV
C084,Toyota,Corolla,2021,Sedan
C085,Ford,Explorer,2018,SUV
C086,Ford,Escape,2018,SUV
C087,Toyota,Corolla,2024,Sedan
C088,Ford,Escape,2022,SUV
C089,Nissan,Maxima,2023,Sedan
C090,Nissan,Rogue,2022,SUV
C091,Hyundai,Kona,2019,SUV
C092,Nissan,Sentra,2022,Sedan
C093,Mercedes,S-Class,2019,Luxury
C094,Nissan,Pathfinder,2024,SUV
C095,Honda,Civic,2021,Sedan
C096,Toyota,RAV4,2024,SUV
C097,Chevrolet,Equinox,2019,SUV
C098,BMW,3 Series,2021,Luxury
C099,Hyundai,Tucson,2019,SUV
C100,Mercedes,S-Class,2020,Luxury
C101,Toyota,Highlander,2021,SUV
C102,Toyota,Prius,2021,Sedan
C103,Honda,Accord,2018,Sedan
C104,Nissan,Sentra,2021,Sedan
C105,Audi,A6,2021,Luxury
C106,BMW,X3,2019,Luxury
C107,Kia,Sportage,2019,SUV
C108,Honda,Odyssey,2022,SUV
C109,Hyundai,Elantra,2021,Sedan
C110,Chevrolet,Silverado,2022,Truck
C111,Chevrolet,Silverado,2021,Truck
C112,Toyota,Prius,2019,Sedan
C113,BMW,X3,2020,Luxury
C114,Audi,A6,2022,Luxury
C115,Hyundai,Kona,2020,SUV
C116,Toyota,Corolla,2020,Sedan
C117,Kia,Sorento,2022,SUV
C118,Ford,F-150,2019,Truck
C119,BMW,7 Series,2019,Luxury
C120,Ford,Focus,2020,Sedan
C121,Ford,Explorer,2022,SUV
C122,Chevrolet,Malibu,2018,Sedan
C123,Nissan,Altima,2021,Sedan
C124,Honda,Civic,2020,Sedan
C125,Ford,Focus,2024,Sedan
C126,Honda,Accord,2021,Sedan
C127,Kia,Forte,2020,Sedan
C128,Kia,Optima,2019,Sedan
C129,Mercedes,GLC,2019,Luxury
C130,Audi,Q5,2023,Luxury
C131,Kia,Sportage,2020,SUV
C132,Chevrolet,Camaro,2022,Sedan
C133,Mercedes,C-Class,2021,Luxury
C134,Hyundai,Tucson,2024,SUV
C135,Toyota,Highlander,2024,SUV
C136,Audi,A4,2022,Luxury
C137,Hyundai,Sonata,2020,Sedan
C138,BMW,3 Series,2019,Luxury
C139,Chevrolet,Malibu,2021,Sedan
C140,Chevrolet,Tahoe,2019,SUV
C141,Hyundai,Elantra,2020,Sedan
C142,Audi,Q5,2022,Luxury
